23725, 20211223.4, 2021-12-23T02:37:31.9435647Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23719, 20211223.2, 2021-12-23T01:34:51.3615778Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 59, comprehensive Python38 | 59, mysql | 59, test_cli | 0
23715, 20211223.1, 2021-12-23T00:00:28.4117936Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2287, comprehensive Python38 | 5494, mysql | 4494, test_cli | 444
23711, 20211222.11, 2021-12-22T23:27:01.8107326Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 59, comprehensive Python38 | 59, mysql | 59, test_cli | 0
23707, 20211222.10, 2021-12-22T23:24:10.068625Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 1797, comprehensive Python38 | 3596, mysql | 3030, test_cli | 0
23704, 20211222.9, 2021-12-22T23:24:00.8935007Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 1797, comprehensive Python38 | 3596, mysql | 3030, test_cli | 0
23699, 20211222.8, 2021-12-22T22:19:22.6714219Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23695, 20211222.7, 2021-12-22T22:18:28.2881741Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23691, 20211222.6, 2021-12-22T18:13:41.8729286Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2189, comprehensive Python38 | 5290, mysql | 4309, test_cli | 0
23687, 20211222.5, 2021-12-22T16:26:45.9415496Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2188, comprehensive Python38 | 5289, mysql | 4308, test_cli | 451
23683, 20211222.4, 2021-12-22T12:57:15.4197677Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23679, 20211222.3, 2021-12-22T12:54:48.7861218Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23675, 20211222.2, 2021-12-22T12:27:03.6415921Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23670, 20211222.1, 2021-12-22T01:32:49.975126Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2526, comprehensive Python38 | 5765, mysql | 4759, test_cli | 444
23666, 20211221.32, 2021-12-21T22:44:26.5480956Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2189, comprehensive Python38 | 5290, mysql | 4309, test_cli | 0
23662, 20211221.31, 2021-12-21T22:36:11.920038Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23658, 20211221.30, 2021-12-21T21:17:58.022009Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 57, comprehensive Python38 | 57, mysql | 57, test_cli | 0
23654, 20211221.29, 2021-12-21T18:56:05.8535264Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
